Month,Price,Change
Jan-95,14.6,-
Feb-95,14.46,-0.92%
Mar-95,13.9,-3.88%
Apr-95,15.48,11.33%
May-95,15.83,2.30%
Jun-95,14.84,-6.24%
Jul-95,14.57,-1.81%
Aug-95,15.55,6.71%
Sep-95,16.16,3.92%
Oct-95,16.07,-0.57%
Nov-95,17.99,11.96%
Dec-95,18.99,5.53%
Jan-96,18.89,-0.53%
Feb-96,19.18,1.54%
Mar-96,20.26,5.64%
Apr-96,21.42,5.74%
May-96,19.41,-9.38%
Jun-96,18.09,-6.82%
Jul-96,19.63,8.52%
Aug-96,21.88,11.48%
Sep-96,25.01,14.30%
Oct-96,26.83,7.25%
Nov-96,27.99,4.35%
Dec-96,27.87,-0.43%
Jan-97,27.35,-1.88%
Feb-97,24.9,-8.97%
Mar-97,22.4,-10.02%
Apr-97,21.78,-2.79%
May-97,22.2,1.94%
Jun-97,21.18,-4.60%
Jul-97,21.76,2.75%
Aug-97,22.71,4.34%
Sep-97,21.98,-3.22%
Oct-97,24.34,10.74%
Nov-97,24.24,-0.38%
Dec-97,21.9,-9.65%
Jan-98,21.02,-4.03%
Feb-98,19.83,-5.67%
Mar-98,18.25,-7.96%
Apr-98,18.86,3.33%
May-98,18.42,-2.35%
Jun-98,17.29,-6.11%
Jul-98,17.83,3.12%
Aug-98,17.15,-3.78%
Sep-98,19.37,12.90%
Oct-98,19.37,0.00%
Nov-98,17.11,-11.67%
Dec-98,14.02,-18.06%
Jan-99,15.4,9.87%
Feb-99,14.25,-7.49%
Mar-99,17.43,22.33%
Apr-99,19.83,13.76%
May-99,19.14,-3.49%
Jun-99,22.64,18.32%
Jul-99,26.45,16.82%
Aug-99,29.11,10.05%
Sep-99,31.76,9.10%
Oct-99,30.8,-3.03%
Nov-99,34.22,11.11%
Dec-99,36.3,6.09%
Jan-00,40.45,11.42%
Feb-00,40.4,-0.11%
Mar-00,39.94,-1.15%
Apr-00,37.24,-6.76%
May-00,39.46,5.98%
Jun-00,40.66,3.02%
Jul-00,41.23,1.40%
Aug-00,46.61,13.07%
Sep-00,52.67,13.00%
Oct-00,51.88,-1.51%
Nov-00,58.3,12.38%
Dec-00,50.15,-13.98%
1-Jan,51.46,2.63%
1-Feb,48.67,-5.43%
1-Mar,45.23,-7.07%
1-Apr,47.01,3.95%
1-May,50.45,7.32%
1-Jun,48.67,-3.53%
1-Jul,45.2,-7.13%
1-Aug,49.04,8.49%
1-Sep,47.38,-3.38%
1-Oct,38.96,-17.76%
1-Nov,33.41,-14.24%
1-Dec,31.34,-6.19%
2-Jan,32.36,3.25%
2-Feb,33.17,2.49%
2-Mar,37.89,14.22%
2-Apr,40.22,6.16%
2-May,40.04,-0.45%
2-Jun,39.27,-1.93%
2-Jul,41.44,5.53%
2-Aug,43,3.78%
2-Sep,47.44,10.32%
2-Oct,46.76,-1.44%
2-Nov,41.57,-11.09%
2-Dec,47.47,14.19%
3-Jan,51.69,8.89%
3-Feb,61.27,18.53%
3-Mar,51.69,-15.64%
3-Apr,42.94,-16.93%
3-May,41.22,-4.01%
3-Jun,43.18,4.75%
3-Jul,45.05,4.34%
3-Aug,47.56,5.56%
3-Sep,42.65,-10.33%
3-Oct,47.26,10.82%
3-Nov,47.65,0.81%
3-Dec,50.12,5.19%
4-Jan,57.3,14.33%
4-Feb,53.54,-6.56%
4-Mar,54.4,1.59%
4-Apr,55.91,2.79%
4-May,62.94,12.57%
4-Jun,59.75,-5.06%
4-Jul,66.69,11.60%
4-Aug,71.8,7.67%
4-Sep,80.32,11.87%
4-Oct,90,12.05%
4-Nov,80.01,-11.10%
4-Dec,72.77,-9.04%
5-Jan,78.87,8.38%
5-Feb,78.87,0.00%
5-Mar,92.35,17.09%
5-Apr,93,0.70%
5-May,87.52,-5.90%
5-Jun,98.72,12.80%
5-Jul,99.31,0.59%
5-Aug,111.82,12.60%
5-Sep,133.58,19.46%
5-Oct,143.21,7.21%
5-Nov,101.51,-29.12%
5-Dec,103.33,1.79%
6-Jan,108.69,5.18%
6-Feb,105.03,-3.37%
6-Mar,112.5,7.12%
6-Apr,124.41,10.59%
6-May,124.34,-0.06%
6-Jun,125.25,0.73%
6-Jul,129.86,3.69%
6-Aug,128.68,-0.91%
6-Sep,109.48,-14.92%
6-Oct,105.36,-3.77%
6-Nov,105.21,-0.14%
6-Dec,110.21,4.76%
7-Jan,100.73,-8.61%
7-Feb,105.76,5.00%
7-Mar,112.06,5.96%
7-Apr,123.65,10.34%
7-May,124,0.28%
7-Jun,127.3,2.67%
7-Jul,129.13,1.43%
7-Aug,126.55,-2.00%
7-Sep,137.32,8.51%
7-Oct,143.95,4.83%
7-Nov,163,13.24%
7-Dec,159.24,-2.31%
8-Jan,159.48,0.15%
8-Feb,167.01,4.72%
8-Mar,191.61,14.73%
8-Apr,214.47,11.93%
8-May,253.45,18.17%
8-Jun,261.25,3.07%
8-Jul,275.32,5.39%
8-Aug,243.87,-11.42%
8-Sep,261.02,7.03%
8-Oct,185.98,-28.75%
8-Nov,150.4,-19.13%
8-Dec,108.74,-27.70%
9-Jan,116.43,7.07%
9-Feb,100.21,-13.94%
9-Mar,101.95,1.74%
9-Apr,110.26,8.15%
9-May,120.04,8.87%
9-Jun,146.41,21.97%
9-Jul,140.83,-3.82%
9-Aug,156.27,10.97%
9-Sep,145.07,-7.17%
9-Oct,161.78,11.51%
9-Nov,165.95,2.58%
9-Dec,166.49,0.33%
10-Jan,173.69,4.32%
10-Feb,169.02,-2.68%
10-Mar,178.03,5.33%
10-Apr,188.39,5.82%
10-May,174.08,-7.60%
10-Jun,175.69,0.92%
10-Jul,172.82,-1.63%
10-Aug,178.47,3.27%
10-Sep,181.51,1.71%
10-Oct,193.35,6.53%
10-Nov,198.85,2.84%
10-Dec,210.41,5.81%
11-Jan,224.6,6.74%
11-Feb,242.41,7.93%
11-Mar,266.88,10.09%
11-Apr,276.66,3.67%
11-May,262.91,-4.97%
11-Jun,261.58,-0.51%
11-Jul,269.56,3.05%
11-Aug,260.76,-3.26%
11-Sep,258.01,-1.06%
11-Oct,257.87,-0.05%
11-Nov,264.85,2.70%
11-Dec,256.88,-3.01%
12-Jan,278.74,8.51%
12-Feb,291.01,4.40%
12-Mar,295.67,1.60%
12-Apr,292.67,-1.02%
12-May,271.39,-7.27%
12-Jun,252.47,-6.97%
12-Jul,273.19,8.21%
12-Aug,298.36,9.21%
12-Sep,302.02,1.23%
12-Oct,296.87,-1.71%
12-Nov,284.38,-4.21%
12-Dec,286.02,0.58%
13-Jan,301.56,5.44%
13-Feb,315.49,4.62%
13-Mar,291.4,-7.64%
13-Apr,276.28,-5.19%
13-May,268.3,-2.89%
13-Jun,273.24,1.84%
13-Jul,291.44,6.66%
13-Aug,309.6,6.23%
13-Sep,309.45,-0.05%
13-Oct,306.79,-0.86%
13-Nov,304.37,-0.79%
13-Dec,316.5,3.99%
14-Jan,308.17,-2.63%
14-Feb,311.85,1.19%
14-Mar,288.64,-7.44%
14-Apr,282.1,-2.26%
14-May,283.16,0.37%
14-Jun,284.21,0.37%
14-Jul,278.28,-2.09%
14-Aug,284.91,2.38%
14-Sep,279.83,-1.78%
14-Oct,253.16,-9.53%
14-Nov,234.16,-7.51%
14-Dec,181.82,-22.35%
15-Jan,150.87,-17.02%
15-Feb,179.3,18.84%
15-Mar,165.95,-7.45%
15-Apr,173.22,4.38%
15-May,188.37,8.74%
15-Jun,176.38,-6.37%
15-Jul,157.66,-10.62%
15-Aug,142.31,-9.73%
15-Sep,145.59,2.30%
15-Oct,145.51,-0.05%
15-Nov,139.9,-3.86%
15-Dec,113.38,-18.95%
16-Jan,97.59,-13.93%
16-Feb,101.89,4.41%
16-Mar,111.97,9.89%
16-Apr,120.16,7.32%
16-May,136.09,13.26%
16-Jun,144.67,6.30%
16-Jul,133.37,-7.81%
16-Aug,135.64,1.70%
16-Sep,138.05,1.78%
16-Oct,152.59,10.54%
16-Nov,142.12,-6.86%
16-Dec,156.31,9.99%
17-Jan,158.75,1.56%
17-Feb,162.18,2.16%
17-Mar,151.52,-6.58%
17-Apr,158.33,4.50%
17-May,148.05,-6.49%
17-Jun,135.82,-8.26%
17-Jul,149.66,10.19%
17-Aug,164.52,9.93%
17-Sep,189.74,15.33%
17-Oct,174.9,-7.82%
17-Nov,185.59,6.11%
17-Dec,198.16,6.78%
18-Jan,215.79,8.90%
18-Feb,204.43,-5.27%
18-Mar,208.36,1.92%
18-Apr,232.94,11.80%
18-May,249.15,6.96%
18-Jun,249.59,0.18%
18-Jul,262.34,5.11%
18-Aug,262.8,0.18%
18-Sep,271.98,3.49%
18-Oct,295.04,8.48%
18-Nov,260.44,-11.73%
18-Dec,235.25,-9.67%
19-Jan,247.63,5.26%
